gid,___case,simpledate,year,month,time,hour,minute,datetime,injured,county,created_at,updated_at,cartodb_id,hex_id,geom
8352,3632518,20080207,2008,2,6:16 p.m.,18,16,02/07/2008 6:16 p.m.,1,Alameda,2013-09-25,2013-09-28,8352,h0.163820337093945,0101000020E6100000B46A7CCBC1905EC0E08DBBF726ED4240
8353,3632519,20080204,2008,2,6:55 p.m.,18,55,02/04/2008 6:55 p.m.,1,Alameda,2013-09-25,2013-09-28,8353,h0.171489836649393,0101000020E6100000DC24500EB0915EC00C2B2680ACF14240
8354,3632524,20080209,2008,2,3:09 p.m.,15,9,02/09/2008 3:09 p.m.,1,Alameda,2013-09-25,2013-09-28,8354,h0.146800100872905,0101000020E61000008A21399938915EC0BD599423AEEC4240
8355,3632531,20080215,2008,2,4:48 p.m.,16,48,02/15/2008 4:48 p.m.,1,Alameda,2013-09-25,2013-09-28,8355,h0.154453513539732,0101000020E6100000F16BDA7B27915EC0FFEFE3C347EF4240
8356,3632543,20080204,2008,2,3:42 p.m.,15,42,02/04/2008 3:42 p.m.,1,Alameda,2013-09-25,2013-09-28,8356,h0.138786133088349,0101000020E6100000736D03D2D9925EC0DD47C9062DF04240
8357,3632547,20080214,2008,2,4:47 p.m.,16,47,02/14/2008 4:47 p.m.,1,Alameda,2013-09-25,2013-09-28,8357,h0.162787391196675,0101000020E6100000FE017BF1EA915EC0379666A9ABEF4240
8358,3632562,20080228,2008,2,2:09 p.m.,14,9,02/28/2008 2:09 p.m.,1,Alameda,2013-09-25,2013-09-28,8358,h0.162787391196675,0101000020E610000078E68AF708915EC0FB01B452ADEF4240
8359,3632577,20080222,2008,2,11:40 p.m.,23,40,02/22/2008 11:40 p.m.,0,Alameda,2013-09-25,2013-09-28,8359,h0.154453513539732,0101000020E6100000D2D9136E43915EC09C8E119A6EEE4240
8360,3632594,20080227,2008,2,8:43 p.m.,20,43,02/27/2008 8:43 p.m.,1,Alameda,2013-09-25,2013-09-28,8360,h0.146800100872905,0101000020E6100000C9D12D85D1915EC0BA1C65B3D9EC4240
8361,3632626,20080225,2008,2,9:39 a.m.,9,39,02/25/2008 9:39 a.m.,1,Alameda,2013-09-25,2013-09-28,8361,h0.154453513539732,0101000020E61000005713FA4F6D915EC09860DD1DBEEE4240
8362,3633375,20080215,2008,2,8:40 a.m.,8,40,02/15/2008 8:40 a.m.,1,Marin,2013-09-25,2013-09-28,8362,h0.23851560997469,0101000020E6100000892F6EFE3AA35EC02A9908C0E4FC4240
8363,3633524,20080125,2008,1,11:26 a.m.,11,26,01/25/2008 11:26 a.m.,1,Santa Clara,2013-09-25,2013-09-28,8363,h0.415315168035573,0101000020E610000065E99ED0468A5EC09C8713984EB64240
8364,3633533,20080217,2008,2,6:22 p.m.,18,22,02/17/2008 6:22 p.m.,1,Santa Clara,2013-09-25,2013-09-28,8364,h0.744950823952675,0101000020E610000052C7CFEB74775EC0F5A276BF0AA04240
8365,3633534,20080131,2008,1,7:47 a.m.,7,47,01/31/2008 7:47 a.m.,1,Sonoma,2013-09-25,2013-09-28,8365,h0.6332559193761,0101000020E61000007F15E0BB4DAC5EC0DB0C816D0E2C4340
8366,3634064,20080213,2008,2,9:31 a.m.,9,31,02/13/2008 9:31 a.m.,0,Contra Costa,2013-09-25,2013-09-28,8366,h0.17073157500845,0101000020E6100000C648F60835975EC06327BC04A7F84240
8367,3634723,20080305,2008,3,11:00 a.m.,11,0,03/05/2008 11:00 a.m.,1,Santa Clara,2013-09-25,2013-09-28,8367,h0.664255136413358,0101000020E610000004F86EF346795EC0731D99FD70AB4240
8368,3634734,20080306,2008,3,6:41 p.m.,18,41,03/06/2008 6:41 p.m.,1,Santa Clara,2013-09-25,2013-09-28,8368,h0.650598282988277,0101000020E610000072A83A3F207B5EC0D322916C64A94240
8369,3634746,20080304,2008,3,12:10 p.m.,12,10,03/04/2008 12:10 p.m.,1,Santa Clara,2013-09-25,2013-09-28,8369,h0.680742981194835,0101000020E61000001A63CC0292785EC05B83ADC89EAA4240
8370,3634750,20080306,2008,3,11:58 a.m.,11,58,03/06/2008 11:58 a.m.,2,Santa Clara,2013-09-25,2013-09-28,8370,h0.662711217758111,0101000020E6100000CF746506E0785EC009281E6162AD4240
8371,3634779,20080303,2008,3,7:20 a.m.,7,20,03/03/2008 7:20 a.m.,1,Santa Clara,2013-09-25,2013-09-28,8371,h0.629476766228047,0101000020E61000009F145223997A5EC068C240214CAF4240
8372,3634782,20080305,2008,3,3:50 p.m.,15,50,03/05/2008 3:50 p.m.,1,Santa Clara,2013-09-25,2013-09-28,8372,h0.744950823952675,0101000020E6100000244FA3DA71775EC05455682096A04240
8373,3634787,20080304,2008,3,7:42 a.m.,7,42,03/04/2008 7:42 a.m.,1,Santa Clara,2013-09-25,2013-09-28,8373,h0.735101042350643,0101000020E6100000B56D180541775EC09C4940F108A24240
8374,3634789,20080307,2008,3,10:53 a.m.,10,53,03/07/2008 10:53 a.m.,1,Santa Clara,2013-09-25,2013-09-28,8374,h0.680742981194835,0101000020E6100000F062AB1537785EC028C00BB66CA94240
8375,3634791,20080304,2008,3,9:01 a.m.,9,1,03/04/2008 9:01 a.m.,1,Santa Clara,2013-09-25,2013-09-28,8375,h0.664255136413358,0101000020E610000004F86EF346795EC0731D99FD70AB4240
